TIME,REGION,COUNTRY,COUNTRY_CODE, LIFE_EXP_FEMALE , LIFE_EXP_MALE , LIFE_EXP_TOTAL , POP_FEMALE , POP_MALE , POP_TOTAL , GDP_CAPITA , HEALTH_CAPITA 
2018,Europe,Netherlands,NLD, 83.40 , 80.30 , 81.81 ," 8,676,043 "," 8,555,582 "," 17,231,624 "," 57,826.63 "," 5,811.24 "
2018,Oceania,New Zealand,NZL, 83.50 , 80.00 , 81.71 ," 2,486,439 "," 2,414,161 "," 4,900,600 "," 42,507.43 "," 3,891.09 "
2018,North America,Nicaragua,NIC, 76.68 , 70.96 , 73.85 ," 3,333,171 "," 3,239,062 "," 6,572,233 "," 5,772.18 ", 490.58 
2018,Africa,Niger,NER, 63.30 , 61.61 , 62.45 ," 11,128,131 "," 11,448,927 "," 22,577,058 "," 1,221.95 ", 64.80 
2018,Africa,Nigeria,NGA, 52.77 , 52.33 , 52.55 ," 98,222,504 "," 100,165,119 "," 198,387,623 "," 5,212.14 ", 161.09 
2018,Europe,North Macedonia,MKD, 78.80 , 74.60 , 76.65 ," 1,040,371 "," 1,035,846 "," 2,076,217 "," 16,796.39 "," 1,065.41 "
2018,Europe,Norway,NOR, 84.50 , 81.10 , 82.76 ," 2,635,181 "," 2,676,735 "," 5,311,916 "," 70,253.85 "," 7,019.08 "
2018,Asia,Oman,OMN, 79.90 , 76.53 , 77.97 ," 1,629,789 "," 2,971,367 "," 4,601,157 "," 35,034.59 "," 1,126.22 "
2018,Asia,Pakistan,PAK, 68.96 , 64.22 , 66.48 ," 108,293,156 "," 111,438,323 "," 219,731,479 "," 5,236.36 ", 150.10 
2018,Oceania,Palau,PLW, .. , .. , 52.55 ," 8,476 "," 9,389 "," 17,864 "," 18,010.20 "," 2,034.84 "
2018,North America,Panama,PAN, 81.02 , 74.83 , 77.86 ," 2,080,041 "," 2,085,213 "," 4,165,255 "," 33,034.75 "," 2,511.00 "
2018,Oceania,Papua New Guinea,PNG, 68.12 , 62.87 , 65.18 ," 4,498,858 "," 4,830,369 "," 9,329,227 "," 3,957.93 ", 90.81 
2018,South America,Paraguay,PRY, 76.34 , 70.95 , 73.57 ," 3,205,602 "," 3,237,726 "," 6,443,328 "," 14,181.43 ", 956.51 
2018,South America,Peru,PER, 78.29 , 73.80 , 76.01 ," 16,242,003 "," 15,961,942 "," 32,203,944 "," 13,001.46 ", 683.64 
2018,Asia,Philippines,PHL, 73.56 , 69.82 , 71.69 ," 53,496,816 "," 55,072,020 "," 108,568,836 "," 8,566.85 ", 338.71 
2018,Europe,Poland,POL, 81.70 , 73.70 , 77.60 ," 19,599,212 "," 18,375,538 "," 37,974,750 "," 32,027.60 "," 2,021.77 "
2018,Europe,Portugal,PRT, 84.50 , 78.30 , 81.32 ," 5,424,120 "," 4,859,701 "," 10,283,822 "," 34,928.54 "," 3,285.40 "
2018,Asia,Qatar,QAT, 82.46 , 80.03 , 80.90 ," 712,137 "," 2,054,595 "," 2,766,732 "," 93,660.41 "," 3,047.05 "
2018,Europe,Romania,ROU, 79.20 , 71.70 , 75.36 ," 10,044,758 "," 9,429,212 "," 19,473,970 "," 29,568.19 "," 1,626.60 "
2018,Europe,Russian Federation,RUS, 77.82 , 67.75 , 72.66 ," 77,393,346 "," 67,084,512 "," 144,477,859 "," 28,821.26 "," 1,555.92 "
2018,Africa,Rwanda,RWA, 68.27 , 64.01 , 66.25 ," 6,418,989 "," 6,112,819 "," 12,531,808 "," 2,098.97 ", 140.67 
2018,Oceania,Samoa,WSM, 75.31 , 70.21 , 72.64 ," 102,603 "," 107,099 "," 209,701 "," 6,287.23 ", 311.50 
2018,Europe,San Marino,SMR, .. , .. , 84.93 ," 17,530 "," 16,626 "," 34,156 "," 60,314.00 "," 5,119.19 "
2018,Africa,Sao Tome and Principe,STP, 71.45 , 65.65 , 68.36 ," 105,837 "," 105,507 "," 211,344 "," 4,083.24 ", 236.52 
2018,Asia,Saudi Arabia,SAU, 78.91 , 75.92 , 77.21 ," 14,682,638 "," 20,335,495 "," 35,018,133 "," 48,861.19 "," 2,696.31 "
2018,Africa,Senegal,SEN, 70.26 , 65.78 , 68.10 ," 7,925,155 "," 7,649,754 "," 15,574,909 "," 3,449.85 ", 152.89 
2018,Europe,Serbia,SRB, 78.40 , 73.50 , 75.89 ," 3,633,970 "," 3,348,634 "," 6,982,604 "," 17,717.99 "," 1,507.57 "
2018,Africa,Seychelles,SYC, 77.40 , 68.50 , 72.84 ," 45,934 "," 50,828 "," 96,762 "," 28,756.47 "," 1,395.01 "
2018,Africa,Sierra Leone,SLE, 61.17 , 58.42 , 59.80 ," 3,924,338 "," 3,936,943 "," 7,861,281 "," 1,649.04 ", 136.69 
2018,Asia,Singapore,SGP, 85.50 , 81.20 , 83.30 ," 2,691,403 "," 2,947,272 "," 5,638,676 "," 100,642.75 "," 3,984.67 "
2018,Europe,Slovak Republic,SVK, 80.80 , 73.90 , 77.27 ," 2,788,054 "," 2,658,718 "," 5,446,771 "," 31,369.80 "," 2,092.64 "
2018,Europe,Slovenia,SVN, 84.40 , 78.50 , 81.38 ," 1,037,800 "," 1,036,095 "," 2,073,894 "," 38,971.82 "," 3,236.61 "
2018,Oceania,Solomon Islands,SLB, 71.74 , 68.79 , 70.17 ," 322,200 "," 337,049 "," 659,249 "," 2,696.64 ", 105.92 
2018,Africa,South Africa,ZAF, 68.74 , 62.20 , 65.67 ," 29,517,286 "," 27,822,349 "," 57,339,635 "," 14,326.65 "," 1,154.71 "
2018,Europe,Spain,ESP, 86.30 , 80.70 , 83.43 ," 23,851,736 "," 22,946,018 "," 46,797,754 "," 40,716.68 "," 3,674.18 "
2018,Asia,Sri Lanka,LKA, 79.49 , 71.98 , 75.75 ," 11,212,976 "," 10,457,023 "," 21,670,000 "," 14,083.69 ", 517.34 
2018,North America,St. Kitts and Nevis,KNA, 75.09 , 68.21 , 71.47 ," 24,545 "," 23,216 "," 47,761 "," 30,670.60 "," 1,510.37 "
2018,North America,St. Lucia,LCA, 76.97 , 70.02 , 73.36 ," 89,573 "," 88,315 "," 177,888 "," 15,998.23 ", 707.28 
2018,North America,St. Vincent and the Grenadines,VCT, 76.86 , 71.82 , 74.13 ," 51,425 "," 53,856 "," 105,281 "," 14,379.76 ", 602.86 
2018,Africa,Sudan,SDN, 68.23 , 63.21 , 65.68 ," 21,005,857 "," 20,993,202 "," 41,999,059 "," 4,453.77 ", 205.80 
2018,South America,Suriname,SUR, 75.94 , 69.29 , 72.55 ," 297,374 "," 296,341 "," 593,715 "," 18,881.62 "," 1,262.74 "
2018,Europe,Sweden,SWE, 84.30 , 80.90 , 82.56 ," 5,063,720 "," 5,111,494 "," 10,175,214 "," 53,521.63 "," 5,887.64 "
2018,Europe,Switzerland,CHE, 85.70 , 81.90 , 83.75 ," 4,292,467 "," 4,221,862 "," 8,514,329 "," 70,688.82 "," 8,187.83 "
2018,Asia,Tajikistan,TJK, 72.60 , 68.27 , 70.35 ," 4,538,006 "," 4,590,127 "," 9,128,132 "," 3,486.97 ", 244.56 
2018,Africa,Tanzania,TZA, 68.65 , 64.48 , 66.54 ," 29,411,111 "," 28,679,332 "," 58,090,443 "," 2,571.17 ", 103.85 
2018,Asia,Thailand,THA, 83.15 , 74.32 , 78.66 ," 36,456,433 "," 34,671,370 "," 71,127,802 "," 18,093.82 ", 700.06 
2018,Asia,Timor-Leste,TLS, 69.70 , 66.47 , 68.02 ," 618,322 "," 643,523 "," 1,261,845 "," 3,144.63 ", 200.25 
2018,Africa,Togo,TGO, 60.65 , 59.83 , 60.24 ," 4,004,288 "," 4,042,391 "," 8,046,679 "," 2,072.75 ", 124.25 
2018,Oceania,Tonga,TON, 73.61 , 68.15 , 70.78 ," 52,981 "," 52,169 "," 105,150 "," 6,439.16 ", 309.60 
2018,North America,Trinidad and Tobago,TTO, 77.35 , 70.30 , 73.80 ," 761,204 "," 743,505 "," 1,504,709 "," 26,148.71 "," 1,665.89 "
2018,Africa,Tunisia,TUN, 79.32 , 72.86 , 75.95 ," 6,023,338 "," 5,909,703 "," 11,933,041 "," 11,312.24 ", 672.67 
2018,Asia,Turkiye,TUR, 80.68 , 74.42 , 77.56 ," 41,271,565 "," 41,537,739 "," 82,809,304 "," 27,802.55 "," 1,146.48 "
