TIME,COUNTRY,COUNTRY_CODE,LIFE_EXP_FEMALE,LIFE_EXP_MALE,LIFE_EXP_TOTAL,POP_FEMALE,POP_MALE,POP_TOTAL,GDP_CAPITA,HEALTH_CAPITA
2018,Afghanistan,AFG,66.458,59.923,63.081,18136922,18549862,36686784,2110.239384,299.8225437
2018,Albania,ALB,81.608,77.037,79.184,1430495,1435881,2866376,13498.18461,895.594816
2018,Algeria,DZA,77.205,74.966,76.066,20564404,21362603,41927007,12007.77471,741.4194295
2018,American Samoa,ASM,..,..,..,24290,24134,48424,..,..
2018,Andorra,AND,..,..,..,36943,38071,75013,..,4075.102821
2018,Angola,AGO,64.717,59.582,62.144,15828040,15445494,31273533,7043.95536,181.0779747
2018,Antigua and Barbuda,ATG,81,75.724,78.511,47910,43715,91626,22603.19287,1096.55068
2018,Argentina,ARG,80.329,73.631,76.999,22467488,22027014,44494502,23294.09868,2216.692967
2018,Armenia,ARM,79.601,69.992,75.064,1551563,1284995,2836557,13549.52242,1355.647719
2018,Aruba,ABW,78.854,73.096,76.072,55935,50026,105962,41685.36332,..
2018,Australia,AUS,84.9,80.7,82.74878049,12582741,12383903,24966643,50192.95733,5337.976003
2018,Austria,AUT,84.1,79.4,81.69268293,4492714,4347806,8840521,56937.94428,5904.617803
2018,Azerbaijan,AZE,75.708,69.693,72.76,5036324,4903447,9939771,14551.20011,506.6122194
2018,"Bahamas, The",BHS,77.32,70.225,73.806,209250,192656,401906,35167.3995,2158.404584
2018,Bahrain,BHR,81.195,78.816,79.857,555346,931994,1487340,50114.15039,2068.990829
2018,Bangladesh,BGD,74.346,70.889,72.567,82369393,81314565,163683958,5247.694707,121.7842055
2018,Barbados,BRB,78.958,75.013,77.067,145752,133936,279688,16388.59954,1079.559412
2018,Belarus,BLR,79.4,69.2,74.17560976,5077117,4361667,9438785,19430.90921,1045.470454
2018,Belgium,BEL,83.9,79.4,81.59512195,5794664,5632391,11427054,52530.56208,5681.599715
2018,Belize,BLZ,77.021,70.84,73.703,189707,192359,382066,9010.060596,426.1121417
2018,Benin,BEN,61.354,58.916,60.14,5965949,5974735,11940683,3113.254929,77.29569013
2018,Bermuda,BMU,83.981,77.594,80.825,32943,30975,63918,83380.8749,..
2018,Bhutan,BTN,72.914,69.602,71.129,357467,404630,762096,11503.84721,364.373998
2018,Bolivia,BOL,70.383,65.279,67.748,5774185,5832721,11606905,8669.827849,572.538492
2018,Bosnia and Herzegovina,BIH,79.093,75.034,77.093,1729892,1670236,3400129,14801.263,1296.740707
2018,Botswana,BWA,67.371,63.336,65.422,1242730,1208678,2451409,15321.7802,929.018522
2018,Brazil,BRA,78.266,71.956,75.109,106812144,103354449,210166592,14971.05467,1416.930254
2018,British Virgin Islands,VGB,78.767,73.093,75.831,15653,14681,30335,..,..
2018,Brunei Darussalam,BRN,76.956,72.668,74.712,209257,225018,434274,61084.25804,1473.852287
2018,Bulgaria,BGR,78.6,71.5,74.96341463,3618547,3406489,7025037,23016.0668,1680.778107
2018,Burkina Faso,BFA,61.706,58.29,60.047,10241740,10150983,20392723,2100.530924,105.1384992
2018,Burundi,BDI,63.524,59.821,61.688,5789861,5703611,11493472,758.2490316,56.10360375
2018,Cabo Verde,CPV,79.875,71.344,75.733,287116,284085,571202,7490.141372,347.0345905
2018,Cambodia,KHM,72.778,68.226,70.561,8094239,7930999,16025238,4319.01589,265.3480194
2018,Cameroon,CMR,62.783,59.602,61.18,12575513,12501234,25076747,3822.232765,138.3492634
2018,Canada,CAN,83.99,79.8,81.84390244,18659541,18405543,37065084,49992.76228,5426.622859
2018,Cayman Islands,CYM,..,..,..,32258,32627,64884,72754.00843,..
2018,Central African Republic,CAF,56.587,52.285,54.369,2545524,2549256,5094780,875.1937178,98.72386758
2018,Chad,TCD,54.317,51.372,52.825,7772311,7831899,15604210,1601.132445,71.81969723
2018,Channel Islands,CHI,83.525,79.205,81.375,84906,82353,167259,..,..
2018,Chile,CHL,82.527,77.684,80.133,9420150,9281300,18701450,25564.53672,2358.52055
2018,China,CHN,80.637,75.046,77.744,685468978,717291023,1402760000,15497.82574,789.7771948
2018,Colombia,COL,79.66,73.842,76.748,24945907,24331054,49276961,15161.31797,1156.113233
2018,Comoros,COM,66.195,61.808,63.912,386817,389497,776313,3374.041663,164.0018723
2018,"Congo, Dem. Rep.",COD,61.767,58.133,59.942,43890310,43197045,87087355,1073.446906,35.44944066
2018,"Congo, Rep.",COG,65.267,62.834,64.053,2724474,2716588,5441062,3877.439563,73.57746192
2018,Costa Rica,CRI,82.083,76.996,79.484,2515262,2525472,5040734,21144.40977,1540.555722
2018,Cote d'Ivoire,CIV,59.94,57.846,58.849,12600637,12893352,25493988,5060.59743,158.0805993
2018,Croatia,HRV,81.4,74.9,78.07073171,2102981,1984862,4087843,28909.41656,1943.076654
2018,Cuba,CUB,80.051,75.067,77.496,5691084,5637159,11328244,..,2484.068216
2018,Curacao,CUW,..,..,..,83537,75798,159336,24775.24161,..
2018,Cyprus,CYP,83.058,79.67,81.382,608241,610590,1218831,40676.57031,2795.305289
2018,Czechia,CZE,82,76.2,79.02926829,5397481,5232447,10629928,41143.82705,3079.399159
2018,Denmark,DNK,82.9,79.1,80.95365854,2913918,2879718,5793636,57482.9624,5816.91949
2018,Djibouti,DJI,65.583,60.59,63.038,531774,525424,1057198,4699.70967,110.2630683
2018,Dominica,DMA,77.247,70.405,73.59,35370,35452,70823,12134.16569,743.9993897
2018,Dominican Republic,DOM,76.499,70.233,73.232,5348537,5416994,10765531,17904.45029,738.7183062
2018,Ecuador,ECU,79.604,74.623,77.094,8506021,8509651,17015672,11887.49225,934.9124338
2018,"Egypt, Arab Rep.",EGY,73.927,68.875,71.367,51250007,52490759,103740765,11636.49884,551.4485002
2018,El Salvador,SLV,77.488,67.352,72.555,3284064,2992279,6276342,9024.051422,751.3904062
2018,Equatorial Guinea,GNQ,63.042,59.556,61.191,707784,794308,1502091,18192.04991,564.5000217
2018,Eritrea,ERI,69.115,64.947,67.067,1747412,1697963,3445374,..,72.76006364
2018,Estonia,EST,82.7,74,78.24390244,698657,623319,1321977,36410.12209,2441.556413
